iter	Passed	Remaining
0	1	122
1	2	139
2	4	139
3	5	126
4	6	124
5	7	119
6	8	116
7	10	122
8	11	119
9	12	115
10	13	112
11	14	109
12	15	106
13	17	106
14	18	104
15	19	102
16	20	100
17	21	98
18	22	97
19	23	95
20	25	94
21	26	92
22	26	89
23	27	87
24	28	85
25	29	83
26	30	81
27	31	80
28	32	78
29	32	76
30	33	75
31	34	73
32	35	72
33	36	70
34	37	68
35	37	67
36	38	66
37	40	65
38	40	64
39	41	62
40	42	61
41	43	59
42	43	58
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	53	44
55	54	43
56	55	42
57	56	40
58	57	39
59	58	38
60	59	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	15
83	78	15
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
