iter	Passed	Remaining
0	138	138164
1	138	69288
2	139	46332
3	140	34861
4	140	28020
5	141	23412
6	141	20120
7	142	17645
8	142	15715
9	143	14182
10	143	12929
11	144	11885
12	144	10999
13	145	10238
14	145	9577
15	146	9001
16	146	8491
17	147	8037
18	147	7632
19	148	7270
20	148	6941
21	149	6642
22	149	6368
23	150	6116
24	150	5884
25	151	5671
26	151	5474
27	152	5292
28	153	5123
29	153	4962
30	154	4815
31	154	4673
32	154	4541
33	155	4417
34	155	4299
35	156	4191
36	157	4087
37	157	3990
38	158	3898
39	159	3820
40	159	3736
41	160	3655
42	160	3576
43	161	3501
44	161	3431
45	162	3365
46	162	3300
47	163	3238
48	163	3181
49	164	3126
50	165	3073
51	165	3021
52	166	2969
53	166	2919
54	167	2872
55	167	2827
56	168	2782
57	168	2739
58	169	2699
59	169	2659
60	170	2620
61	171	2588
62	171	2552
63	172	2518
64	172	2485
65	173	2452
66	173	2421
67	174	2391
68	174	2361
69	175	2331
70	176	2306
71	176	2280
72	177	2253
73	178	2232
74	178	2206
75	179	2181
76	179	2157
77	180	2135
78	181	2113
79	181	2090
80	182	2068
81	182	2047
82	183	2023
83	183	2002
84	184	1982
85	184	1962
86	185	1942
87	185	1923
88	186	1904
89	186	1885
90	187	1869
91	187	1852
92	188	1836
93	188	1821
94	189	1804
95	189	1789
96	190	1773
97	190	1757
98	191	1742
99	191	1727
100	192	1713
101	192	1698
102	193	1685
103	194	1672
104	195	1666
105	196	1654
106	196	1641
107	197	1628
108	197	1616
109	198	1603
110	198	1592
111	199	1580
112	199	1568
113	200	1556
114	200	1545
115	201	1534
116	202	1524
117	202	1514
118	203	1507
119	204	1497
120	204	1486
121	205	1475
122	205	1466
123	206	1456
124	206	1447
125	207	1440
126	208	1430
127	208	1421
128	209	1412
129	209	1404
130	210	1395
131	210	1387
132	211	1378
133	211	1369
134	212	1361
135	212	1352
136	213	1344
137	214	1337
138	214	1329
139	215	1321
140	215	1313
141	216	1305
142	216	1297
143	216	1289
144	217	1282
145	217	1275
146	218	1268
147	219	1260
148	219	1253
149	220	1247
150	220	1240
151	221	1233
152	221	1227
153	222	1220
154	222	1213
155	222	1206
156	223	1199
157	223	1193
158	224	1188
159	225	1182
160	225	1175
161	226	1170
162	226	1164
163	227	1158
164	227	1152
165	228	1147
166	228	1142
167	229	1136
168	229	1130
169	230	1124
170	230	1119
171	231	1114
172	232	1109
173	232	1104
174	233	1099
175	233	1094
176	234	1089
177	234	1084
178	235	1079
179	235	1074
180	236	1071
181	237	1066
182	237	1061
183	238	1056
184	238	1052
185	239	1047
186	239	1042
187	240	1038
188	240	1033
189	241	1028
190	241	1024
191	242	1019
192	242	1016
193	243	1011
194	243	1007
195	244	1002
196	244	998
197	245	994
198	245	989
199	246	985
200	247	982
201	247	977
202	248	973
203	248	969
204	248	965
205	249	961
206	249	957
207	250	953
208	250	949
209	251	945
210	251	942
211	252	938
212	252	934
213	253	931
214	253	927
215	254	923
216	255	921
217	255	917
218	256	914
219	256	910
220	257	907
221	257	903
222	258	899
223	258	896
224	259	892
225	259	889
226	260	886
227	260	883
228	261	879
229	261	876
230	262	873
231	262	870
232	263	867
233	263	863
234	264	860
235	264	857
236	265	854
237	265	851
238	266	848
239	266	845
240	267	842
241	267	838
242	268	836
243	268	833
244	269	830
245	269	827
246	270	824
247	270	821
248	271	818
249	271	815
250	272	812
251	272	809
252	273	807
253	274	804
254	274	802
255	275	799
256	275	796
257	276	794
258	276	791
259	277	789
260	277	786
261	278	784
262	278	781
263	279	778
264	279	776
265	293	809
266	294	807
267	294	804
268	295	801
269	295	799
270	296	796
271	297	795
272	297	792
273	298	790
274	299	788
275	299	786
276	300	784
277	301	782
278	302	781
279	302	778
280	303	776
281	303	773
282	304	771
283	304	768
284	305	766
285	305	763
286	306	761
287	307	759
288	307	757
289	308	755
290	308	752
291	309	750
292	309	747
293	310	745
294	310	742
295	311	740
296	311	738
297	312	735
298	312	733
299	313	731
300	313	728
301	314	727
302	315	725
303	315	723
304	316	721
305	316	718
306	317	716
307	317	714
308	318	712
309	318	709
310	319	707
311	319	705
